模块编号,模块名称,所属系统,模块类型,机制与病理基础,危险信号（升级标准）,护理评估要点,护理措施,复评时间,效果评价,健康教育要点,护理记录模板,SBAR模板,参考依据
21,头痛,常见症状,症状,头痛常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉头痛相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现头痛（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
22,咳嗽,常见症状,症状,咳嗽常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉咳嗽相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现咳嗽（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
23,胸闷,常见症状,症状,胸闷常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉胸闷相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现胸闷（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
24,水肿,常见症状,症状,水肿常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉水肿相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现水肿（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
25,尿潴留,常见症状,症状,尿潴留常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉尿潴留相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现尿潴留（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
26,焦虑情绪,常见症状,心理,焦虑情绪常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉焦虑情绪相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现焦虑情绪（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
27,低钠,实验室异常,实验室,低钠常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉低钠相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现低钠（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
28,高钠,实验室异常,实验室,高钠常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉高钠相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现高钠（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
29,低钾,实验室异常,实验室,钾参与神经肌肉兴奋与心肌电活动；低钾常见于摄入不足、呕吐腹泻、利尿剂或细胞内转移。,K<3.0 mmol/L、心律失常/ECG U波明显、肌无力明显或呼吸肌受累需立即报告。,生命体征、心电图、肌力、尿量、近期腹泻呕吐史、利尿剂/胰岛素使用史。,遵医嘱补钾（口服/静脉）；静脉补钾需心电监护并控速；观察静脉刺激；监测尿量与复查电解质。,静脉补钾后2–4小时或按医嘱复查血钾；有心律异常随时复评。,血钾回升至3.5–5.0；心律稳定；肌力改善。,饮食补钾（按病情）；按医嘱用药；心悸无力及时告知。,主诉：患者诉低钾相关不适。评估：生命体征、心电图、肌力、尿量、近期腹泻呕吐史、利尿剂/胰岛素使用史。（记录关键数值/评分）。处理：遵医嘱补钾（口服/静脉）；静脉补钾需心电监护并控速；观察静脉刺激；监测尿量与复查电解质。。复评：静脉补钾后2–4小时或按医嘱复查血钾；有心律异常随时复评。，结果：血钾回升至3.5–5.0；心律稳定；肌力改善。。,"S：患者低钾（程度/评分××）。
B：既往/治疗相关××。
A：生命体征、心电图、肌力、尿量、近期腹泻呕吐史、利尿剂/胰岛素使用史。。
R：遵医嘱补钾（口服/静脉）；静脉补钾需心电监护并控速；观察静脉刺激；监测尿量与复查电解质。；请评估后续处理。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
30,高钾,实验室异常,实验室,高钾常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉高钾相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现高钾（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
31,低钙,实验室异常,实验室,低钙常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉低钙相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现低钙（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
32,低镁,实验室异常,实验室,低镁常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉低镁相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现低镁（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
33,贫血,实验室异常,实验室,贫血常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉贫血相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现贫血（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
34,血小板减少,实验室异常,实验室,血小板减少常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉血小板减少相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现血小板减少（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
35,白细胞减少,实验室异常,实验室,白细胞减少常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉白细胞减少相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现白细胞减少（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
36,中性粒细胞减少,实验室异常,实验室,中性粒细胞减少常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉中性粒细胞减少相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现中性粒细胞减少（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
37,肝功能异常,实验室异常,实验室,肝功能异常常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉肝功能异常相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现肝功能异常（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
38,肾功能异常,实验室异常,实验室,肾功能异常常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉肾功能异常相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现肾功能异常（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
39,低白蛋白,实验室异常,实验室,低白蛋白常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉低白蛋白相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现低白蛋白（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
40,凝血异常,实验室异常,实验室,凝血异常常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉凝血异常相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现凝血异常（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
